Reference,Qty,Value,Footprint,URL,Datasheet
Column1,Column2,Column3,Column4,Column5,Column6
R2,1,22.1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"https://fr.aliexpress.com/item/1005006277097647.html?spm=a2g0o.productlist.main.4.5497609eoZ2an5&aem_p4p_detail=2026040805294610962765271214220000733075&algo_pvid=63fca2ac-0917-4ffc-b231-b461f8bb1c4e&algo_exp_id=63fca2ac-0917-4ffc-b231-b461f8bb1c4e-3&pdp_ext_f=%7B""order""%3A""362""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.41%210.41%21%21%213.17%213.17%21%40211b815c17756513867967579ebaf6%2112000036577211901%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=2BeUodJ0CgJ5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006277097647%7C_p_origin_prod%3A&search_p4p_id=2026040805294610962765271214220000733075_1",
"R3,R4",2,5.1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"https://fr.aliexpress.com/item/1005006277097647.html?spm=a2g0o.productlist.main.4.5497609eoZ2an5&aem_p4p_detail=2026040805294610962765271214220000733075&algo_pvid=63fca2ac-0917-4ffc-b231-b461f8bb1c4e&algo_exp_id=63fca2ac-0917-4ffc-b231-b461f8bb1c4e-3&pdp_ext_f=%7B""order""%3A""362""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.41%210.41%21%21%213.17%213.17%21%40211b815c17756513867967579ebaf6%2112000036577211901%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=2BeUodJ0CgJ5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006277097647%7C_p_origin_prod%3A&search_p4p_id=2026040805294610962765271214220000733075_1",
"R5,R6,R10,R11",4,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"https://fr.aliexpress.com/item/1005006277097647.html?spm=a2g0o.productlist.main.4.5497609eoZ2an5&aem_p4p_detail=2026040805294610962765271214220000733075&algo_pvid=63fca2ac-0917-4ffc-b231-b461f8bb1c4e&algo_exp_id=63fca2ac-0917-4ffc-b231-b461f8bb1c4e-3&pdp_ext_f=%7B""order""%3A""362""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.41%210.41%21%21%213.17%213.17%21%40211b815c17756513867967579ebaf6%2112000036577211901%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=2BeUodJ0CgJ5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006277097647%7C_p_origin_prod%3A&search_p4p_id=2026040805294610962765271214220000733075_1",
"R7,R8,R9,R12,R13",5,100,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"https://fr.aliexpress.com/item/1005006277097647.html?spm=a2g0o.productlist.main.4.5497609eoZ2an5&aem_p4p_detail=2026040805294610962765271214220000733075&algo_pvid=63fca2ac-0917-4ffc-b231-b461f8bb1c4e&algo_exp_id=63fca2ac-0917-4ffc-b231-b461f8bb1c4e-3&pdp_ext_f=%7B""order""%3A""362""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.41%210.41%21%21%213.17%213.17%21%40211b815c17756513867967579ebaf6%2112000036577211901%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=2BeUodJ0CgJ5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006277097647%7C_p_origin_prod%3A&search_p4p_id=2026040805294610962765271214220000733075_1",
"S1,S2",2,FSM8JH,lib:SW_FSM8JH,"https://fr.aliexpress.com/item/1005006049127824.html?spm=a2g0o.productlist.main.22.564f522enYqCg3&aem_p4p_detail=20260413020445957907482574000002119873&algo_pvid=ce93e31f-0f94-4986-9167-e5e00072dac8&algo_exp_id=ce93e31f-0f94-4986-9167-e5e00072dac8-19&pdp_ext_f=%7B""order""%3A""485""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%211.04%211.01%21%21%218.11%217.85%21%402103892f17760710849905834e88e4%2112000035489554247%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=wT9P4K7MF6RZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006049127824%7C_p_origin_prod%3A&search_p4p_id=20260413020445957907482574000002119873_9",
U1,1,ESP32-S3-WROOM-1,RF_Module:ESP32-S3-WROOM-1,"https://fr.aliexpress.com/item/1005006713837988.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.9631gycvgycv0z&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=d781eaf8-8ddd-4632-84f3-c981883c0665&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:d781eaf8-8ddd-4632-84f3-c981883c0665,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B""order""%3A""863""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21EUR%213.49%213.49%21%21%2126.95%2126.95%21%40211b80f717737751674848915ef200%2112000038076313990%21rec%21FR%214057000124%21XZ%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005006713837988%7C_p_origin_prod%3A",https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf
U2,1,LM2576HVS-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,"https://fr.aliexpress.com/item/1005007403267346.html?spm=a2g0o.productlist.main.4.37a8WIQ5WIQ5t6&aem_p4p_detail=202604041600251670301472897750001753694&algo_pvid=a1b17836-545f-4166-8b94-62574e884779&algo_exp_id=a1b17836-545f-4166-8b94-62574e884779-3&pdp_ext_f=%7B""order""%3A""50""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%211.74%211.73%21%21%211.96%211.95%21%402103834817753436250722762e4621%2112000040596529719%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=ndvEGZHk0Yyv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007403267346%7C_p_origin_prod%3A&search_p4p_id=202604041600251670301472897750001753694_1",http://www.ti.com/lit/ds/symlink/lm2576.pdf
U3,1,IRF4905S,lib:D2PAK,"https://fr.aliexpress.com/item/1005011681766493.html?spm=a2g0o.productlist.main.1.58790y9v0y9vny&algo_pvid=426320bd-137c-487d-9709-0ba7e469c399&algo_exp_id=426320bd-137c-487d-9709-0ba7e469c399-0&pdp_ext_f=%7B""order""%3A""10""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%214.65%214.29%21%21%2136.23%2133.44%21%40211b80e117760731840118614eec42%2112000056236284101%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000204638773&curPageLogUid=3ez9qkoMp5N5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011681766493%7C_p_origin_prod%3A",
EXT_1,1,18V_PSU,HUGE,"https://fr.aliexpress.com/item/1005001855183032.html?spm=a2g0o.productlist.main.11.6d5e216fMM0te7&algo_pvid=a4a890f1-4ef4-488f-9aed-4af7d546ea11&algo_exp_id=a4a890f1-4ef4-488f-9aed-4af7d546ea11-10&pdp_ext_f=%7B""order""%3A""1983""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2115.72%2111.79%21%21%2117.70%2113.27%21%40211b876e17755942778884065e34e5%2112000017866972601%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=5K1d4bKDQuEP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001855183032%7C_p_origin_prod%3A",
EXT_2,1,C14_230V_connector,with_screw_terminals,"https://fr.aliexpress.com/item/1005005608668688.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.6.1898FYQZFYQZvw&gps-id=pcDetailTopMoreOtherSeller&scm=1007.14452.396806.0&scm_id=1007.14452.396806.0&scm-url=1007.14452.396806.0&pvid=26e66d20-07ce-4e7b-bfc0-13b9ae0fe74d&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.14452.396806.0,pvid:26e66d20-07ce-4e7b-bfc0-13b9ae0fe74d,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B""order""%3A""661""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21EUR%212.90%212.81%21%21%2122.60%2121.93%21%40211b612517760715385903009eb712%2112000033737046167%21rec%21FR%214057000124%21XZ%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000204638773&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005608668688%7C_p_origin_prod%3A&search_p4p_id=202604130212186196219718205474897272_0",
EXT_3,1,EU_C14_power_lead,2.5mm²_section,"https://fr.aliexpress.com/item/1005009243323159.html?spm=a2g0o.productlist.main.1.4e3e5df3yraYhQ&algo_pvid=ff0d3d2e-9eac-4a87-bb23-cb711b61146b&algo_exp_id=ff0d3d2e-9eac-4a87-bb23-cb711b61146b-0&pdp_ext_f=%7B""order""%3A""848""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%216.47%216.39%21%21%2150.42%2149.79%21%4021039a5b17760715270983710e2de9%2112000048680993590%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000204638784&curPageLogUid=uNocJeFc6ovj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009243323159%7C_p_origin_prod%3A",
